,x,y,z,img
122,-56.634342,-87.45075,-80.095,Reservoir_2005
123,-131.81583,-69.757416,-83.362335,Image_2005
124,120.71018,92.51979,-80.65637,Regime_2005
125,-154.90479,-55.15048,-32.322697,Border_2005
126,-13.05319,-81.30414,-51.877308,Storey_2005
127,-12.848752,-136.47899,70.39542,Circle_2006
128,-80.45455,-37.787807,-89.97875,Memo_2006
129,-30.399,73.248886,23.298626,Contact_2006
130,108.78261,-16.573574,1.24107,Collage_2006
131,-90.59731,-30.588484,76.9661,Filter_2006
132,152.12192,35.21212,-18.403238,Corner_2006
133,28.165249,112.83979,-152.9176,Bloom_2006
134,-19.360264,32.807632,46.164562,Fringe_2006
135,81.95151,11.488359,16.707354,Array_2006
136,263.98065,75.5723,43.954613,Cycle_2006
137,45.249058,-32.426075,-131.6369,Interlude_2006
138,55.504616,100.1528,-111.637924,Studio_2006
139,-129.7004,-25.94763,-126.93883,Arcade_2006
140,89.60245,-104.002174,-85.01544,Mirage_2006
141,-3.0045824,-155.24402,45.293755,Sector_2006
142,-72.04075,-40.845142,42.011684,Entrance_2006
143,98.90311,57.111164,120.312126,Square_2006
144,-1.97786,-134.06767,115.355965,Screen_2006
145,-105.224556,1.2585278,43.670418,Network_2006
146,-82.78985,-49.50654,3.8791862,Presence_2006
147,-7.9954133,36.96733,-75.82957,Exposure_2007
148,-52.09941,-99.974785,-18.210855,Base_2007
149,63.107353,77.626175,27.725826,Center_2007
150,55.049854,25.344723,53.740437,Access_2007
151,-66.13068,50.360264,55.35519,Aperture_2007
152,11.659585,-103.347206,45.43075,Detail_2007
153,81.29662,-148.39435,-44.31128,Dynasty_2007
154,84.10355,-157.87447,16.764067,Living_2007
155,-137.19887,-5.8996224,-66.60276,Passage_2007
156,32.995266,-177.01791,-48.37157,Bouquet_2008
157,-17.301609,-41.609066,-90.50997,Forum_2008
158,-47.88987,-56.180046,88.669876,House_2008
159,-99.60434,-145.24074,79.88456,Territory_2008
160,39.127758,74.00464,143.40176,Labyrinth_2008
161,-128.91084,50.36675,-100.81681,Cluster_2008
162,17.171595,48.49255,115.2797,Atmosphere_2008
163,-64.25152,-131.82913,-54.05369,Volume_2008
164,141.96544,0.94472694,-31.465729,Support_2008
165,26.998997,46.70426,36.985935,Junction_2008
166,-32.56937,-72.9636,45.140507,Spectrum_2008
167,-59.27118,42.235577,107.58778,Replica_2008
168,-37.114895,-27.038248,-162.00699,Control_2008
169,32.306877,-77.71316,-88.578255,Nature_2008
170,-80.95429,-96.8503,30.228355,Project_2008
171,96.19152,31.592268,-157.2239,Property_2008
172,-123.78003,110.08532,-66.61052,Summit_2008
173,-152.51463,40.33451,19.088442,Transition_2008
174,175.14366,23.770628,-80.10635,Site_2008
175,35.224472,70.909,-75.10786,Matrix_2008
176,55.111263,-32.753452,-84.71672,Monitor_2008(missing)
177,169.60207,4.581737,65.53493,Flood_2009
178,30.55771,-112.62574,-46.94321,Picture a Mirror_2009
179,113.7828,-50.973095,-88.10854,Matter_2009
180,-55.944534,-115.30096,86.438095,Play_2009
181,2.6700578,-49.490128,11.912191,Race_2009
182,161.23956,-52.65522,-57.56788,Condominium_2010
183,-8.204551,-81.50045,-181.45457,The English House_2010
184,-2.3992507,-64.92362,-130.80194,Green Zone_2010
185,118.77129,138.5713,-4.202496,SuperVision_2010
186,-33.627964,-13.45615,38.73752,China Halo_2010
187,-168.76468,-2.206879,-16.10761,Crossover_2010
188,89.8379,-19.033226,-162.8741,Premises (in Red)_2010
189,52.160847,30.081804,-133.18977,One Brilliant Complex_2011
190,132.78613,83.64524,25.616734,The Approach_2011
191,61.927437,-5.1265078,-35.835094,Double Standard_2012
192,125.11944,-50.30794,37.004547,Plot Ratio_2012
193,30.530981,-44.85644,-45.90417,Synchronicity_2012
194,-31.278486,-62.66692,-7.6442485,Costa Blanca_2012
195,-89.679535,91.23916,99.78451,Flatland_2012
